Hotel_Name,Positive_Review
Hotel Arena, Only the park outside of the hotel was beautiful 
Hotel Arena, No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam 
Hotel Arena, Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back 
Hotel Arena, Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area The building also has quite some character 
Hotel Arena, Amazing location and building Romantic setting 
Hotel Arena, Good restaurant with modern design great chill out place Great park nearby the hotel and awesome main stairs 
Hotel Arena, The room is spacious and bright The hotel is located in a quiet and beautiful park 
Hotel Arena, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast 
Hotel Arena,No Positive
Hotel Arena, The room was big enough and the bed is good The breakfast food and service on the hotel is good outside the hotel there is a big park which is very good for walk in the morning and evening Many people are having picnics and do some bicycling 
Hotel Arena, Rooms were stunningly decorated and really spacious in the top of the building Pictures are of room 300 The true beauty of the building has been kept but modernised brilliantly Also the bath was lovely and big and inviting Great more for couples Restaurant menu was a bit pricey but there were loads of little eatery places nearby within walking distance and the tram stop into the centre was about a 6 minute walk away and only about 3 or 4 stops from the centre of Amsterdam Would recommend this hotel to anyone it s unbelievably well priced too 
Hotel Arena, Style location rooms
Hotel Arena, Comfy bed good location 
Hotel Arena, This hotel is being renovated with great care and with an appreciation for its unique structure and location My spacious and comfortable room had a large double paned glass window onto the lush greenery of the park The breakfast selection was spectacular All considered this was a great hotel for the price and I plan to return 
Hotel Arena, It was very good very historic building that s why I chose it 
Hotel Arena, This hotel is awesome I took it sincirely because a bit cheaper but the structure seem in an hold church close to one awesome park Arrive in the city are like 10 minutes by tram and is super easy The hotel inside is awesome and really cool and the room is incredible nice with two floor and up one super big comfortable room I ll come back for sure there The staff very gentle one Spanish man really really good 
Hotel Arena, Great onsite cafe Amazing building Park location Amazing Bobby Gin and Tonic 
Hotel Arena, We loved the location of this hotel The fact that it is set in a Park away from the busy centre of dam square was great The tram system was brilliant and easy to handle The hotel is lovely and the bed was comfy Staff were very friendly and helpful and familiarized themselves with us when they realized we travelled from Ireland 
Hotel Arena, Public areas are lovely and the room was nice but the window was broken and the drains in the bathroom smelt Its an old building and clearly has old building issues 
Hotel Arena, I liked the hotels history And for such an enormous hotel I can t imagine how many girls were orphaned I liked their breakfast It was a quirky mix of fruits pastries meats and fish breads and the regular bacon and eggs Juices tea and coffee 
