,Hotel_Name,Negative_Review,Positive_Review
495707,Best Western Antares Hotel Concorde, Number 1 problem was the attitude of one of the staff members This guy was kissing up the customers with a smile but talked very rudely to his colleagues especially to a cleaner Additionally it was funny that the staff was running during the breakfast and colliding with each other , Room was exceptionally large like having a living room of your own Hotel was clean modern and stylish Metro station Turro good restaurant New Friday and grocery store Carrefour were located nearby 100 300 meters Everything worked well 
495708,Best Western Antares Hotel Concorde, The bathroom there was a hole above the shower which made the bathroom unfinished, Very spacious room Near from a supermarket and the public transport
495709,Best Western Antares Hotel Concorde, The quality of central air conditioning wasn t good irrespective of temperature set the cooling did not seem effective at all We booked a triple room but what we were provided was really a double room with extra bed sofa cum bed Also the location does not offer any great view from the room just the road and buildings all around , Good location just 150 mts from metro station Turro from where Duomo is 7 stops away The property is located next to big departmental store Carrefour Its also quite close to the Milano Centrale main railway station of Milan less than 10 mins drive by taxi The hotel staff were nice Breakfast spread was good and there were some toys for children to play with in the dining area that kept them engaged during the breakfast Best part was that they provided Handy an Android smartphone specially designed for hotel guests that gave us free calls internet maps tour offers etc that we could carry out of the hotel This was a pleasant surprise for us and was quite useful 
495710,Best Western Antares Hotel Concorde, Air conditioning was not working Room got up to 28 6DegC in the evening It was also very dirty under the air conditioning unit Seemed to just blow air , Good breakfast and located close to Metro and Shops 
495711,Best Western Antares Hotel Concorde, The location was a bit too far out of the city although very convenient for the Metro , The room was a good size for the family The room was clean and tidy with good facilities Good proximity to the Metro and the supermarket 
495712,Best Western Antares Hotel Concorde, Booking com offered breakfast at 5 each but hotel wanted 8 In the end we didn t eat breakfast at the hotel Hotel didn t respond to email , Hotel is very nice Also useful to have a supermarket next door 
495713,Best Western Antares Hotel Concorde, Both the breakfast and the dinner needs improvement For the breakfast they need to focus on quality But for the dinner it is both quality and the quantity they should improve We had a half board booking and the dinner was served in very small quantities I suggest to eat somewhere else Also the room temperature is controlled centrally thus you cannot adjust it based on your needs , Good location next to the metro station Turro Nice and helpfull reception Clean and comfortable rooms and beds 
495714,Best Western Antares Hotel Concorde,No Negative, We stayed at the hotel for 2 nights First night was with a group as a bus tour with Gartours the second night we booked additionaly Best Western in Milan was the best through the whole tour Location is very convenient It is located 3 min walking from subway station on direct line from all famous attractions Comfortable nice bedding good size of the room with spacious walk in closet good breakfast Compare to all other hotels in Rome Florence and Venus provided by our tour operator that one was a nice surprise
495715,Best Western Antares Hotel Concorde, Nothing to write here we got everything we expected , Excellent location polite and helpful staff good quality of both service room service till 23 30 at very very reasonable prices and accommodations spacious room clean bathroom Plenty of places to have a quick bite breakfast Red subway line is 2 minutes away from the hotel so that s a major plus 
495716,Best Western Antares Hotel Concorde, It seems that there was a problem with the booking I would have expected that the people at the reception would try to solve this problem but they just said that there were no rooms available I had to convince them to give me a solution On top of that they were not friendly as of they were making me a favor , Very clean comfortable bed
495717,Best Western Antares Hotel Concorde, There is a lack of lighting in a room to dark in my point of view To drive in out of the garage would test your driver skill to limit especially if you drive a big car , Staff was very kind and helpful Best Western is a brand that keep a certain level of quality 
495718,Best Western Antares Hotel Concorde, The cleanliness is not at its best spiders on the wall some dust around the window area We arrived late for dinner 21 30 restaurant closes at 22 00 the portions were quite small and rare cooked steak tuna compared to the dinner from the next day , Close to the Turro Metro Station which links directly to the city center Comfy bed The rooms are spatious and equipped with everything you need Wi Fi works well Price Service for a double room with demipension is great Breakfast is quite rich and at dinner you can eat some tasty italian food if you arrive in time 
495719,Best Western Antares Hotel Concorde, The ladies at lobby on arrival were very kind that can t say about young man the day we had to leave I had a problem with battery of my car unfortunately this was Sunday not much help from hotel I had to find myself a shop to by a cable an search for someone with a car to start the engine Don t go with a car to this hotel 20 euro per day for a parking with very narrow entry and no elevator to hotel ,No Positive
495720,Best Western Antares Hotel Concorde, walking little beat far away from central station but with taxi pretty close 11euro , Me and my friend stayed here 1night the room was very nice clean confortable bed
495721,Best Western Antares Hotel Concorde, The shower had no holding place for shampoo and the garage is not directly linked by an elevator take care if you have a not high car Anyway not real problem , Clean and warm 
495722,Best Western Antares Hotel Concorde, Liked everything for the price, Everything was perfect Very near the metro nice cafes and restaurants just steps away A large departmental store just next to the hotel Decent neighbourhood and very friendly staff The restaurant serves good food Breakfast is wholesome Will choose the same hotel if I were to visit Milan again 
495723,Best Western Antares Hotel Concorde, The restaurant is closed at the weekend Didn t know this until we returned to get out bags and have lunch before traveling home A shame The room temperature was wayy too hot Couldn t work adjust the aircon heater , Perfect location 5 mins from Turro Metro station We were able to leave our cases there before checking in and after check out On the Red M1 line so fantastic access to the Duomo 
495724,Best Western Antares Hotel Concorde, Quite noisy room the window didn t close perfectly with the room facing main street and poor wall soundproof unfortunately we had a very noisy group staying near us in the last night at the hotel , Very good placement near metro station 15 min up to Duomo metro Station Carefour market 24h open near hotel Very good WiFi 
495725,Best Western Antares Hotel Concorde, lousy breakfast cold scrambled eggs orange juice containing more water than juice , Close to metro stration Old style hotel well kept Nice and helpful staff 
495726,Best Western Antares Hotel Concorde, Hotel Parking area a little difficult but there is on street parking available in the immediate area need to buy parking vouchers from Metro Station The cooling system AC was not operational so there was no way to adjust the individual temperature inside the room except by opening the window Central heating was on full , Good size family room comfortable Sofa bed and decent bathroom Bedroom decor a little dated but bathrooms modern and well equipped Easy access to Metro which runs straight into the Duomo 
495727,Best Western Antares Hotel Concorde, nothing , location close to the metro and supermarket next door breakfast was good and staff were very good will stay again this was our third staying at this hotel 
495728,Best Western Antares Hotel Concorde,No Negative, We had a great time in the hotel it takes approximately 15 minutes to go to the city centre Duomo with the subway It s a quite area where with not that many restaurants around but there is a big supermarkt exactly next to the hotel The staff was very friendly and the hotel was looking great We will definitely come back to this hotel if we visit again 
495729,Best Western Antares Hotel Concorde, Seems silly but theres no plug next to the bed to charge your phone while laying down, The room was so confortable and the hotel is in a quiet neiborghood with a 24h supermarket next door Metro station 50m away 
