,Hotel_Name,Negative_Review,Positive_Review
78073,H tel Horset Op ra Best Western Premier Collection, nothing I got what I paid for , the location is very good the breakfast is good the staff is excellent although the rooms are small I will return to this hotel 
78074,H tel Horset Op ra Best Western Premier Collection, That they don t have a functioning kitchen only prepared meals, It s location and friendliness of the staff The room was extremely comfortable and perfect for one person A true parisian feel
78075,H tel Horset Op ra Best Western Premier Collection, The wifi was unacceptably slow The tub was also quite high which made it a bit tricky getting into and out of the shower The music in the lobby was awful , The room was a decent size for Paris The breakfast reasonable and the staff friendly 
78076,H tel Horset Op ra Best Western Premier Collection, A little expensive but probably not for this part of Paris , Although small the room was very well equipped and everything worked especially the air con Layout made best use of space Perfect location close to sights and public transport Beds comfy Quiet position in side street 
78077,H tel Horset Op ra Best Western Premier Collection, Wi fi You have to log in each time you switch on the app , Comfy bed perfect pillows you sleep like a log The receptionists are really helpful If they gave you a choice instead of ordering trips through companies they cooperate with they would be just perfect 
78078,H tel Horset Op ra Best Western Premier Collection, Drinks at breakfast were serve yourself from a pouring flask so not hot unless just filled up Quite a cramped breakfast room , Room was large and comfortable Bathroom was exceptionally well equipped
78079,H tel Horset Op ra Best Western Premier Collection, The croissants Being in Paris one expects to have fresh croissants and fresh orange juice just a constructive suggestion , Location and comfort 
78080,H tel Horset Op ra Best Western Premier Collection, I can t imagine anything better , Best value in Paris Eggs great breakfast was great room was great services never lacking personnel exquisite just the best 
78081,H tel Horset Op ra Best Western Premier Collection, Phone beside bed did not always make connection , Did not have time to use Wi Fi Like that they had newspapers available each day Room decor very elegant and soothing Very clean Very quiet Great location 
78082,H tel Horset Op ra Best Western Premier Collection,No Negative, The room was spacious comfortable and beautiful The staff was overwhelmingly friendly and helpful The breakfast more than adequate and the location was adequately near the metro and galleries Lafayette also near a grocery and all other places to eat in Will definitely stay there again on our next trip No need to search for more 
78083,H tel Horset Op ra Best Western Premier Collection, The wifi was free but my connection failed to work on several occasions When it did work the speed was great , Great location quiet street comfortable room on the 6th floor with very good airconditioning that was actually very quiet Easy walking distance from Metro 
78084,H tel Horset Op ra Best Western Premier Collection, Would have loved to have coffee capsules since the room had a coffee machine , I very much liked the the room breakfast staff over all atmosphare and everything about the hotel It was calm beautiful and a lovely Parisian style hotel in the city center easy to quickly get to many places Also an upgrade of the room was kind for the hotel provided me the calm stay on my business trip they promised and more 
78085,H tel Horset Op ra Best Western Premier Collection, Nothing, The beds and pillows were fantastic but the all the staff really made it for us in particular we loved the night manager at the desk he was informed and friendly We had two rooms off a private corridor which was great for a sisters trip The breakfast was great with sufficient range to choose something different each day The croissants were below average but the bread and all else were spot on 
78086,H tel Horset Op ra Best Western Premier Collection, Room decor dated the curtains and wall area feel quiet at night as it s nestled in a quiet lane Far from metro , Staff were excellent warm and helpful Lots of asian eateries around that area Room very clean can smell the nice warm sheets that were freshly washed and pressed Shower water temp and flow was great bed and pillows comfy room size not too cramped for the price
78087,H tel Horset Op ra Best Western Premier Collection, Room is kind of small and minimum equipment, Staffs are friendly and kind great location to walk around center of the city and I enjoyed breakfast a lot 
78088,H tel Horset Op ra Best Western Premier Collection, The tiny elevator for saying something , This was a reward travel for me and my elder sister the language limits a little but we were lucky with Fernando he made us feel good with his kindness 
78089,H tel Horset Op ra Best Western Premier Collection, house keeping services needs to be improved Since we are vegetarians there were not many choices for vegetarian food in the breakfast And last day they also charged us for a natural omelette that we requested for bathroom was too small and inconvenient , staff were friendly 
78090,H tel Horset Op ra Best Western Premier Collection, The plugs for mobile phones and tablets are difficult to reach Same applies to plugging of the electric tea pot thus making tea rather difficult , This is an elegant and comfortable hotel located in heart of Paris between the Opera and the Louvre Tourist Office Shopping Cafes restaurant are all in a walking distance Metro station is five minutes away The rooms are nicely decorated and breakfast is good Wifi works well even on the sixth floor The staff is outstanding professional helpful and well informed 
78091,H tel Horset Op ra Best Western Premier Collection, One way street system around the hotel , The location was excellent with great access to bars restaurants and famous landmarks all in easy walking distance 
78092,H tel Horset Op ra Best Western Premier Collection, no quibbles , friendly and helpful staff great location beside The Opera and a short walk from the Louvre and other major attractions excellent breakfast and comfortable accommodation
78093,H tel Horset Op ra Best Western Premier Collection, Bad bar staff They regularly abandon the bar so that they can chat with reception staff Trying to get a drink is hard work They are not at all interested in running the bar Bad atmosphere Forget this hotel if you enjoy a lobby lounge experience , Good bed Central location Nice staff 
78094,H tel Horset Op ra Best Western Premier Collection, Small wc in room 408 i couldnt fit in it Furnitures are becoming old for a 4 star hotel Lighting in the room was weak Need more light Cleanliness is not wow Lamps are so dirty, Location smiling staff and helpfull
78095,H tel Horset Op ra Best Western Premier Collection, Basically it felt like poor value for money The staff were helpful but aloof and overall it just felt like a lot to pay for what was essentially a tiny bedroom with an attached bathroom Also they claim to have very good internet but this just wasn t the case and I had a number of times where I had problems with the connectivity for example video conferencing or doing anything more advanced than mail or web browsing , Location between Opera and the Louvre was very convenient 
78096,H tel Horset Op ra Best Western Premier Collection, WiFi is ok but could be better , Excellent location Close to Opera Metro Galeries Lafayette and Louvre area Great restaurants nearby particularly enjoyed Le Petit Colbert 
78097,H tel Horset Op ra Best Western Premier Collection, Never found anything wrong, Loved the decor the hotel felt like a home from home just one little negative didn t like the strong smell of air freshener when I first entered room opened window and soon got rid of it would certainly stay here again 
78098,H tel Horset Op ra Best Western Premier Collection, The assortment of menu in lobby bar Not enough meals to order for supper or lunch , Unfortunately we left hotel early morning without breakfast Calm and cosy room convenient place to investigate Paris
78099,H tel Horset Op ra Best Western Premier Collection,No Negative, The girl in reception was very helpful with restaurants and other information The man who took our luggage upstairs and managed the taxi in the morning was extremely efficient The breakfast was above average and the room was exactly as we has ordered Balcony non smoking and twin beds I prefer this location in Paris 
78100,H tel Horset Op ra Best Western Premier Collection,No Negative, Metro many shops and restaurants are just a few steps from the hotel The location is really great All the staffs are friendly and helpful Great breakfast too 
78101,H tel Horset Op ra Best Western Premier Collection, The smallest hotel bathroom I ve ever come across Very little privacy when using it as the sliding door to it right by the bed , Lovely breakfasts 
78102,H tel Horset Op ra Best Western Premier Collection, I just couldn t believe the missing basics Maybe a bit spoiled having stayed at some lovely hotels but given it has 4 stars and the price no robe really awful towels mediocre bathroom products no complimentary water biscuits in tea tray not renewed next day door key needed to be re programmed three times kettle lead was silly short so I had to keep pulling furniture about to plug it in No spare blanket and I was cold as it had rained a lot I think Best Western are sitting on their laurels due to the great location but need to up their game It was a bit faded and just not that enjoyable an experience This doesn t include the fact they took the money off my card before I arrived I had wanted to pay in cash for the room and had the euros with me , The barman was lovely friendly and accommodating The location was brilliant quiet but central 
78103,H tel Horset Op ra Best Western Premier Collection, Nothing Even though they do not have a restaurant there is a meal service in the bar , Staff very helpful an arranged a special restaurant for my wife s birthday dinner Very cosy and VERY convenient for Paris city 
