,Hotel_Name,Negative_Review,Positive_Review
26106,Staybridge Suites London Vauxhall, The staff were less welcoming than previously they seemed rushed and a bit grumpy, The standard of the breakfast has dropped since we last visited horrible eggs overcooked bacon dry sausages etc I m sure this can be easily remedied 
26107,Staybridge Suites London Vauxhall, Bathroom door could use a hook to hang your robe somewhere Also the closet could use more hangers Very minor issues , Excellent Hotel bed was nice a and firm Hotel was very quite good sleeping after busy days Hotel is newer everything was clean and bright Excellent breakfast with great variety and quality foods Hotel is in an excellent area being next to the Vauxhall train underground station A couple of nice pubs within a block s distance Would recommend to anyone business couples family 
26108,Staybridge Suites London Vauxhall, Very close to the river but sadly no view We had a studio apartment the overall room size was good but the sofa was squashed in between the bed TV Lots of cupboard space a wardrobe but difficult to know where to put my suitcase I just left it stood up against the wall , Very good experience comfortable room friendly staff short walk from Vauxhall station and the river Breakfast included plenty of choice and was open for 3 hours each morning Everything was clean tidy well maintained We arrived early on day 1 and the staff arranged for our room to be made up straight away AirCon worked well We didn t really use the kitchen area but it was nice to have a fridge Bathroom very spacious Would stay again would recommend to others 
26109,Staybridge Suites London Vauxhall, I think the housekeeping could have been better in terms of changing bedsheets regularly It will also help to have bigger more trashcans There can also be more ventilation in the gym It was in the basement and felt a bit stuffy , Breakfast was great atmosphere cozy Thanks for providing a handy phone in the room that we can use to take out The room size was also decent 
26110,Staybridge Suites London Vauxhall, No parking on site nearest secure parking is quite a walk away There are 3 free parking spaces outside on the road but no guarantee these will be available they were already taken when we stayed None of the usual hotel extras like sewing kit shower cap body moisturiser which I asked for during our stay but even housekeeping didn t have them Shampoo conditioner and shower gel were however in the room and were nice quality Room smelled a little smokey as if the previous guest had smoked in there , Staff were very friendly and helpful I cannot praise the staff enough one was even happy to help with outfit choice for a wedding I was attending Bed pillows and duvet were very comfortable Very handy having a small kitchen in room Good wifi connection and TV with Netflix BBC iPlayer etc Access to complimentary coffee tea during the day Nice smelling shampoo shower gel Good aircon in room Breakfast was fine also had a gluten free section 
26111,Staybridge Suites London Vauxhall, Only suggestion to have small mirror in washroom for shaving , Clean new property Has all facilities in room iron kettle kitchen facilities good water pressure and hot water 
26112,Staybridge Suites London Vauxhall, NOT CHEAP , EXCELLENT LOCATION NICE BREAKFAST BEAUTIFUL ROOMS WITH FULLY EQUIPPED KITCHEN FREE MOBILE PHONE WITH INLAND CALLS AND INTERNET TEAM VERY POLITE AND HELPFUL CLOSE TO TUBE BICYCLE RENT LOVELY TEAHOUSE
26113,Staybridge Suites London Vauxhall,No Negative, The staff were very helpful and friendly the rooms were clean as was the hotel there is a good choice for breakfast love the little pancake making machine the beds were comfy and it was also very quiet so was able to get a good nights sleep 
26114,Staybridge Suites London Vauxhall, A little bit far distant from papular sites in London but there is a underground station nearby The shower power was too small , Good breakfast and 24 hr drinks for free nice staff and great room 
26115,Staybridge Suites London Vauxhall,No Negative, The hosts were amazing I want to thank 2 amazing staff members Yane Oxana i think it was her name she wore black frame glasses she is tall with dark hair She was very helpful She made us feel very much at home
26116,Staybridge Suites London Vauxhall, What we didn t like was that the Instructions for micro wave oven were wrong, I liked the 24 hour a day coffee station and the easy of travel through Vauxhall station was easy The corner pub had good food as well Good room side had good nights sleep liked the kitchenette set up and space to hang and store clothes
26117,Staybridge Suites London Vauxhall, the bed was a bit hard, we felt at home very clean the handy in the room was extremly useful with the handy you can look for attractions restaurants underground map etc 
26118,Staybridge Suites London Vauxhall,No Negative, I like the spacious room and the amenities inside The room is cleaned regularly Handy phone for use of the guest was efficient Breakfast was amazing 
26119,Staybridge Suites London Vauxhall,No Negative, The hotel is very comfortable and tastefully furnished The rooms are clean spacious and bright with fully equipped kitchenette and Nespresso machine There is also a Handy in a room an excellent help when travelling around the city finding places The hotel staff are all very friendly and helpful and the hotel dog Waggers just adorable The breakfast is great as is the lovely lounge area where free tea and coffee is available all day The neighbourhood is quiet and tidy This hotel is really a home away from home We will certainly be back 
26120,Staybridge Suites London Vauxhall,No Negative, Good buffet breakfast Well located for access to Southbank less than ten minutes to Vauxhall station Spacious room very clean Black Dog pub just a few yards away which does good food 
26121,Staybridge Suites London Vauxhall, The bed and pillows are really not comfortable at all Hotel doesn t provide bathrobes The breakfast while you will definitely find something to fill youp up I have certainly had way better breakfasts in other hotels, Size of the room Well equipped rooms including microwave dishwasher and utensils 3 FREE parking spots right infront of the hotel you need to be lucky though Coffee served throughout the day Very nice touch from the staff card chocolate and bottle of wine in the room as it was a birthday occasion a big thank you Very helpful staff WI FI was good enough 
26122,Staybridge Suites London Vauxhall, heavy rain followed by snowy storm , Great appart hotel where the owners are very client oriented Location is convenient 5 min from Vauhal tube and big bus stations A pleasant and eye catching walk along embankment in 3 bridges distance will take you to Big Ben place Free handy for the whole stay socializing parties with wine and tasty snacks 4 times a week spacious rooms smart tv set radio with alarm aux etc I travel a lot and would put this hotel in my top 5 s Highly recommend to cut the long story short 
26123,Staybridge Suites London Vauxhall, This is a gem A longer stay would have been perfectly acceptable , This was our 2nd stay in two months Located on a quiet backstreet its a lovely warm friendly environment The family style is brought home in the Breakfast area with great food and relaxed seating Our suite was large comfortable clean and in splendid decorative order The whole place is clean and everything works well Vauxhall bus train and tube stations are a 10 minute walk Highly recommended 
26124,Staybridge Suites London Vauxhall,No Negative, Staff were wonderful and welcoming Always available to help Little extras like evening drinks and food New comfortable We had great weather and like to walk so the location in the south area was fine but a bit distant from central events Metro not far bus easy and convenient Quiet compared to our earlier rental in the more convenient Covenant Garden area 
