,Hotel_Name,Negative_Review,Positive_Review
293544,AC Hotel Irla a Marriott Lifestyle Hotel, The place is ok but room service for cleaning after departure is slow as one day we returned to hotel around 5 pm after we had left at 9 30 morning and the room was still not prepared and cleaned also our room was facing the main street which was a bit noisy , Location is ok the staff is helpful
293545,AC Hotel Irla a Marriott Lifestyle Hotel, Queen size bed actually was very thin queen for Due to glass wall between bathroom and room itself there was no chance not to let your roommate s know that you re in bathroom almost no isolation for noise and light ,No Positive
293546,AC Hotel Irla a Marriott Lifestyle Hotel, Nothing, The staff are friendly and helpful Big special thanks to Ricardo He is an asset to the hotel Close to transport especially the bus tours restaurants and shops
293547,AC Hotel Irla a Marriott Lifestyle Hotel, The layout of the bathroom was interesting Door of the shower could not be opened if somebody was brushing the teeth at the sink , Good hotel nice beds and quiet neighbourhood 
293548,AC Hotel Irla a Marriott Lifestyle Hotel, The room is tiny Very comfy but tiny The door doesn t lock from the inside as in no chain and that I never like Breakfast was average service was average , There is nothing amazing about this hotel It s OK across the board Nothing to complain about but nothing memorable either 
293549,AC Hotel Irla a Marriott Lifestyle Hotel, Room sizes,No Positive
293550,AC Hotel Irla a Marriott Lifestyle Hotel, None, Staff attitude
293551,AC Hotel Irla a Marriott Lifestyle Hotel, Wifi connection very poor,No Positive
293552,AC Hotel Irla a Marriott Lifestyle Hotel, wifi in a room freeof charge, zajtrk ok
293553,AC Hotel Irla a Marriott Lifestyle Hotel,No Negative, Excellent staff wonderful over all experience 
293554,AC Hotel Irla a Marriott Lifestyle Hotel, Paid wifi , Staff 
293555,AC Hotel Irla a Marriott Lifestyle Hotel, Location is too noisy at night being the nightlife in the area , Location is good during the day
293556,AC Hotel Irla a Marriott Lifestyle Hotel,No Negative, Close to two types of metro and only a 10 euro can ride from the city center 
293557,AC Hotel Irla a Marriott Lifestyle Hotel, No business center facilities,No Positive
293558,AC Hotel Irla a Marriott Lifestyle Hotel, Reception Space Wi fi, Location
293559,AC Hotel Irla a Marriott Lifestyle Hotel,No Negative, Great place for a quick overnight stop Friendly and efficient staff 
