,Hotel_Name,Negative_Review,Positive_Review
247559,Mercure Paris Gobelins Place d Italie, The lobby area is very small some staff could have been friendlier , The rooms are very quiet The breakfast was good The location is excellent it is very clean 
247560,Mercure Paris Gobelins Place d Italie, My reservation on booking is 125 euros including breakfast After I checked out I was charged 33 euros extra for breakfast without asking me I am a bit upset about this kind of operation deduction from customer s credit card pre authorization without informing ,No Positive
247561,Mercure Paris Gobelins Place d Italie, Room compact but this is usual for Paris and toiletries a tad basic no hair conditioner small tablet soap rather than hand wash Mini bar is well stocked but prices not displayed be careful Make sure you re carrying a photo ID at check in , Extremely conveniently located for access from main train stations and to central sites Good range of restaurants in the Avenue Des Gobelins recommend Dolce Romana Efficient housekeeping services in the hotel which is surprisingly quiet given the bustle of the area if you book a courtyard facing room this is set back some way from the street We d definitely return 
247562,Mercure Paris Gobelins Place d Italie, Breakfast could have be a bit more things to offer but the quality was good , Location Close to a big metro point Here you have a good start point for your trip around Paris Very good and understanding hotel management if you have any trouble they will sort it out for you 
247563,Mercure Paris Gobelins Place d Italie, Mini bar quite expensive mainly the bathroom and the bedroom need some refurbishment , Very quite location with very nice court yard and comfortable bed 
247564,Mercure Paris Gobelins Place d Italie, This hotel should be rated down from 4 stars to 2 stars maximum We were very uncomfortable and extremely disappointed with the poor quality The room was very small with heavy humidity Unless it is fully refurbished soon I would not recommend this place R W Luxembourg , The location 
247565,Mercure Paris Gobelins Place d Italie,No Negative, Excellent location short walk to metro from which city centre can be accessed in minutes Short walk to the impressive Italie Deux shopping mall and local caf s Comfortable clean and quiet room Friendly staff 
247566,Mercure Paris Gobelins Place d Italie, Room smelt like someone had smoked in it previously , Good transport links Very comfortable massive super king bed 
247567,Mercure Paris Gobelins Place d Italie, Ugly view Poor value of money small room size , Friendly staff great check in and out 
247568,Mercure Paris Gobelins Place d Italie, The room was a bit small even for Paris standards , Great location and proximity to the main sights Nearby metro station 
247569,Mercure Paris Gobelins Place d Italie,No Negative, Great location neer Public transport hub but still a quiet room 
247570,Mercure Paris Gobelins Place d Italie, Wireless poor and car parking for small car mainly,No Positive
247571,Mercure Paris Gobelins Place d Italie, Better selection and quality of breakfast No breakfast tea available although advertised, Very pleasant and helpful staff
247572,Mercure Paris Gobelins Place d Italie, Nothing, Everything 
247573,Mercure Paris Gobelins Place d Italie,No Negative, Comfy decent sized rooms
247574,Mercure Paris Gobelins Place d Italie,No Negative, the room was very quiet although near a Boulevard 
247575,Mercure Paris Gobelins Place d Italie,No Negative,No Positive
247576,Mercure Paris Gobelins Place d Italie, Cleaner knocked the door 3 times on the morning, Comfy beds and reception staff printed rugby tickets for us
247577,Mercure Paris Gobelins Place d Italie, All was perfect, Very confortable room and quiet 
247578,Mercure Paris Gobelins Place d Italie, Facilities limited but garden when open in warmer weather will greatly improve on this, Staff very friendly Good breakfast
247579,Mercure Paris Gobelins Place d Italie,No Negative, We love the location as it s near a Metro but more importantly for us close to Rue Mouffetard The building is in a quiet location 
247580,Mercure Paris Gobelins Place d Italie,No Negative, Location is convenient very close to Metro 
247581,Mercure Paris Gobelins Place d Italie, Wi Fi connection very unstable, Small but well equipped room
247582,Mercure Paris Gobelins Place d Italie, Size of room And facilities, Location and staff service
