,Hotel_Name,Negative_Review,Positive_Review
111027,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Nothing really I just wish European hotels had laundry facilities and not overpriced offsite services , Great hotel Typical Accor management being part of the Accor group made me stay there 
111028,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Absolutely fabulous For Paris standards this is above 4 hotel Rooms are big Bathrooms are fabulous Location amazing Thanks a lot I am coming back 
111029,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Maybe the room could have been brighter but it wasn t an issue, Great location attentive staff and wonderful breakfast The room was clean and spacious It was an extremely comfortable stay for us 
111030,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, That we couldn t stay longer, This was an awesome hotel in a great location Staff went beyond the ordinary to help us and were great They very kindly held onto a bike we were travelling with whilst we were out of Paris for a few days before we returned again Thanks so much 
111031,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Great speed of service with likeable staff that dos everything to make the stay comfortable Small caramels before sleeping left on the bed Not what you expect from a 4 hotel Clarins bath products also a nice surprise Bathrobe and slippers too Not what you expect for a 4 hotel so well done For the price it really is good value for money in a central location in Paris just off Place Vendome Amazing Breakfast was also sufficient with juices fruit hot etc A decent spread 
111032,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Location was quite central for touring Paris by foot and by subway Hotel staff was very helpful in giving subway restaurant and event info Rooms include everything you might need 
111033,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Nothing, Loved this hotel Spotless comfortable friendly staff Clarins products in bathroom Extremely comfortable bed and pillows Perfect location Breakfast to our rooms for 2 mornings and ate in gorgeous breakfast room last morning A great hotel highly recommend
111034,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Two items from the minibar were very expensive, A very comfortable hotel in a very nice area We arrived very early morning the lady at the front desk made a call and arranged to check us in at 10 30 By the time we came back from a cafe nearby our luggage was already in the room The other front desk staff were friendly as were the dining room staff Overall it was a pleasant experience 
111035,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Very comfortable small hotel in an excellent location just off the place vendome with friendly staff and delicious breakfast I ve stayed at the Stendhal a couple of times and would highly recommend it to others 
111036,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, I wish the WC was closer to the bath or at least have a sink in the WC for washing hands but the bath was nice as well , The location was perfect The room size and set up was great It was comfy and quaint 
111037,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, The air conditioning was less than effective , This hotel is situated just around the corner from Place Vendome Able to walk to the Louvre Notre Dame Champs lys es Tuileries Garden with ease 
111038,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Nothing , Location is good
111039,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Nice room Great location
111040,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Small space but that s Paris , Great location nicely appointed room great bed and shower
111041,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, No gym No kitchen for 24 hour room service No English channels on tv , Location Great value for money Hotel decor 
111042,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Location
111043,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Good bathroom,No Positive
111044,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Breakfast room a bit on the small size but sweet , Value for money was great and a good mix of friendly and officiant staff I would go back 
111045,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Location
111046,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Everything excellent very quiet room comfy bed everything clean and cosy excellent location would definitely come back
111047,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, None , All good 
111048,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Central location in paris Staff extremely helpful and attentive Rooms clean and to a high standard 
111049,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Nothing bad at all, Lovely boutique hotel in great arra
111050,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Quiet street excellent location 1 minute walking distance from Place Vend me Portuguese TV channel Small quiet hotel
111051,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Nothing, Beautiful spacious room Lovely staff Nice included breakfast Couldn t fault it 
111052,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, I don t have any complaints, I love the location and bedroom
111053,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, nothing, Perfect location Great bath tub and shower 
111054,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,No Negative, Perfect location terrific room and fabulous staff could not have asked for more 
111055,Hotel Stendhal Place Vend me Paris MGallery by Sofitel, Nothing Just excellent, Location breakfast Room price
